"year","quarter","HPI_state","state_code","HPI_US","income_state","income_US","RelPrice","RelIncome","AffordGap","PriceIndexSelf","IncomeIndexSelf","AffordLevel"
2000,1,140.72,"AL",136.47,1793.91666666667,2132.83333333333,1.03114237561369,0.841095569274049,1.22595150097351,1,1,1
2000,1,140.72,"AL",NA,1793.91666666667,2132.83333333333,NA,0.841095569274049,NA,1,1,1
2000,2,141.46,"AL",138.76,1808.83333333333,2163,1.01945805707697,0.836261365387579,1.21906631021329,1.00525866969869,1.00831513912761,0.996968735953366
2000,2,141.46,"AL",NA,1808.83333333333,2163,NA,0.836261365387579,NA,1.00525866969869,1.00831513912761,0.996968735953366
2000,3,142.09,"AL",NA,1823.75,2199.66666666667,NA,0.829102894377936,NA,1.00973564525298,1.01663027825521,0.993218151033173
2000,3,142.09,"AL",140.93,1823.75,2199.66666666667,1.00823103668488,0.829102894377936,1.21605055720055,1.00973564525298,1.01663027825521,0.993218151033173
2000,4,142.44,"AL",NA,1838.66666666667,2221.08333333333,NA,0.827824259933216,NA,1.01222285389426,1.02494541738282,0.987587081933543
2000,4,142.44,"AL",143.4,1838.66666666667,2221.08333333333,0.993305439330544,0.827824259933216,1.19989892469529,1.01222285389426,1.02494541738282,0.987587081933543
2001,1,144,"AL",146.04,1853.58333333333,2250.25,0.986031224322104,0.823723290004814,1.19704181766712,1.02330869812393,1.03326055651043,0.990368490964076
2001,1,144,"AL",NA,1853.58333333333,2250.25,NA,0.823723290004814,NA,1.02330869812393,1.03326055651043,0.990368490964076
2001,2,145.04,"AL",NA,1873.375,2253.75,NA,0.831225734886301,NA,1.03069926094372,1.04429321317415,0.986982628960006
2001,2,145.04,"AL",148.39,1873.375,2253.75,0.977424354740886,0.831225734886301,1.17588317314861,1.03069926094372,1.04429321317415,0.986982628960006
2001,3,146.01,"AL",150.65,1893.16666666667,2300.41666666667,0.969200132758048,0.822966853830828,1.17769036291865,1.03759238203525,1.05532586983788,0.983196197203661
2001,3,146.01,"AL",NA,1893.16666666667,2300.41666666667,NA,0.822966853830828,NA,1.03759238203525,1.05532586983788,0.983196197203661
2001,4,147.11,"AL",NA,1912.95833333333,2257.41666666667,NA,0.847410387980361,NA,1.04540932347925,1.0663585265016,0.980354446931577
2001,4,147.11,"AL",153.03,1912.95833333333,2257.41666666667,0.961314774880742,0.847410387980361,1.13441466910956,1.04540932347925,1.0663585265016,0.980354446931577
2002,1,148.06,"AL",155.54,1932.75,2311.08333333333,0.951909476661952,0.836296109328237,1.13824453569033,1.05216031836271,1.07739118316533,0.976581519139136
2002,1,148.06,"AL",NA,1932.75,2311.08333333333,NA,0.836296109328237,NA,1.05216031836271,1.07739118316533,0.976581519139136
2002,2,149.36,"AL",NA,1956.4375,2341.66666666667,NA,0.835489323843416,NA,1.06139852188744,1.09059553119339,0.973228379843075
2002,2,149.36,"AL",158.4,1956.4375,2341.66666666667,0.942929292929293,0.835489323843416,1.12859526270381,1.06139852188744,1.09059553119339,0.973228379843075
2002,3,150.18,"AL",161.42,1980.125,2350.66666666667,0.930367984140751,0.842367413499716,1.1044681563303,1.06722569641842,1.10379987922144,0.966865204923903
2002,3,150.18,"AL",NA,1980.125,2350.66666666667,NA,0.842367413499716,NA,1.06722569641842,1.10379987922144,0.966865204923903
2002,4,152.87,"AL",164.67,2003.8125,2370.33333333333,0.928341531547945,0.845371607368865,1.09814609747459,1.08634167140421,1.1170042272495,0.972549292923629
